[2025-10-09T05:29:49.889108Z] Actor Renovación iniciado. Suscrito a tópico: Renovacion
[2025-11-14T06:07:25.184789Z] RENOVACION PROCESADA | Usuario=79 | Libro=BOOK-693 | RecibidoGC=2025-11-14T06:07:24.773495Z | Publicado=2025-11-14T06:07:24.773666Z | NuevaFecha=2025-11-28T06:07:25.149228Z | Procesado=2025-11-14T06:07:25.184598Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.189178Z] RENOVACION PROCESADA | Usuario=79 | Libro=BOOK-693 | RecibidoGC=2025-11-14T06:07:24.773495Z | Publicado=2025-11-14T06:07:24.773666Z | NuevaFecha=2025-11-28T06:07:25.156837Z | Procesado=2025-11-14T06:07:25.189059Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.207992Z] RENOVACION PROCESADA | Usuario=89 | Libro=BOOK-387 | RecibidoGC=2025-11-14T06:07:24.773722Z | Publicado=2025-11-14T06:07:24.773750Z | NuevaFecha=2025-11-28T06:07:25.174238Z | Procesado=2025-11-14T06:07:25.207526Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.219765Z] RENOVACION PROCESADA | Usuario=89 | Libro=BOOK-387 | RecibidoGC=2025-11-14T06:07:24.773722Z | Publicado=2025-11-14T06:07:24.773750Z | NuevaFecha=2025-11-28T06:07:25.185111Z | Procesado=2025-11-14T06:07:25.219503Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.226580Z] RENOVACION PROCESADA | Usuario=89 | Libro=BOOK-387 | RecibidoGC=2025-11-14T06:07:24.773722Z | Publicado=2025-11-14T06:07:24.773750Z | NuevaFecha=2025-11-28T06:07:25.189396Z | Procesado=2025-11-14T06:07:25.226389Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.246332Z] RENOVACION PROCESADA | Usuario=71 | Libro=BOOK-174 | RecibidoGC=2025-11-14T06:07:24.775456Z | Publicado=2025-11-14T06:07:24.775512Z | NuevaFecha=2025-11-28T06:07:25.208189Z | Procesado=2025-11-14T06:07:25.246221Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.258961Z] RENOVACION PROCESADA | Usuario=71 | Libro=BOOK-174 | RecibidoGC=2025-11-14T06:07:24.775456Z | Publicado=2025-11-14T06:07:24.775512Z | NuevaFecha=2025-11-28T06:07:25.219875Z | Procesado=2025-11-14T06:07:25.258827Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.265620Z] RENOVACION PROCESADA | Usuario=71 | Libro=BOOK-174 | RecibidoGC=2025-11-14T06:07:24.775456Z | Publicado=2025-11-14T06:07:24.775512Z | NuevaFecha=2025-11-28T06:07:25.226698Z | Procesado=2025-11-14T06:07:25.265510Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.279237Z] RENOVACION PROCESADA | Usuario=12 | Libro=BOOK-626 | RecibidoGC=2025-11-14T06:07:24.776201Z | Publicado=2025-11-14T06:07:24.776249Z | NuevaFecha=2025-11-28T06:07:25.247083Z | Procesado=2025-11-14T06:07:25.279133Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.289135Z] RENOVACION PROCESADA | Usuario=12 | Libro=BOOK-626 | RecibidoGC=2025-11-14T06:07:24.776201Z | Publicado=2025-11-14T06:07:24.776249Z | NuevaFecha=2025-11-28T06:07:25.259120Z | Procesado=2025-11-14T06:07:25.289035Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
